Time,Setpoint,Speed,Control,Load
0,30,0.0002,12,0
0.001,30,0.000597932,12,0
0.002,30,0.00119175,12,0
0.003,30,0.00197941,12,0
0.004,30,0.00295892,12,0
0.005,30,0.00412827,12,0
0.006,30,0.0054855,12,0
0.007,30,0.00702864,12,0
0.008,30,0.00875576,12,0
0.009,30,0.0106649,12,0
0.01,30,0.0127543,12,0
0.011,30,0.0150219,12,0
0.012,30,0.0174659,12,0
0.013,30,0.0200844,12,0
0.014,30,0.0228757,12,0
0.015,30,0.0258378,12,0
0.016,30,0.0289691,12,0
0.017,30,0.0322677,12,0
0.018,30,0.0357318,12,0
0.019,30,0.0393597,12,0
0.02,30,0.0431497,12,0
0.021,30,0.0471001,12,0
0.022,30,0.051209,12,0
0.023,30,0.055475,12,0
0.024,30,0.0598962,12,0
0.025,30,0.0644711,12,0
0.026,30,0.0691979,12,0
0.027,30,0.0740751,12,0
0.028,30,0.0791011,12,0
0.029,30,0.0842742,12,0
0.03,30,0.0895929,12,0
0.031,30,0.0950556,12,0
0.032,30,0.100661,12,0
0.033,30,0.106407,12,0
0.034,30,0.112292,12,0
0.035,30,0.118316,12,0
0.036,30,0.124476,12,0
0.037,30,0.13077,12,0
0.038,30,0.137198,12,0
0.039,30,0.143759,12,0
0.04,30,0.150449,12,0
0.041,30,0.157269,12,0
0.042,30,0.164217,12,0
0.043,30,0.171291,12,0
0.044,30,0.178489,12,0
0.045,30,0.185812,12,0
0.046,30,0.193256,12,0
0.047,30,0.200822,12,0
0.048,30,0.208507,12,0
0.049,30,0.21631,12,0
0.05,30,0.22423,12,0
0.051,30,0.232265,12,0
0.052,30,0.240415,12,0
0.053,30,0.248678,12,0
0.054,30,0.257052,12,0
0.055,30,0.265537,12,0
0.056,30,0.274132,12,0
0.057,30,0.282834,12,0
0.058,30,0.291643,12,0
0.059,30,0.300558,12,0
0.06,30,0.309577,12,0
0.061,30,0.318699,12,0
0.062,30,0.327924,12,0
0.063,30,0.337249,12,0
0.064,30,0.346674,12,0
0.065,30,0.356198,12,0
0.066,30,0.365819,12,0
0.067,30,0.375536,12,0
0.068,30,0.385349,12,0
0.069,30,0.395256,12,0
0.07,30,0.405255,12,0
0.071,30,0.415347,12,0
0.072,30,0.42553,12,0
0.073,30,0.435803,12,0
0.074,30,0.446164,12,0
0.075,30,0.456613,12,0
0.076,30,0.467149,12,0
0.077,30,0.477771,12,0
0.078,30,0.488477,12,0
0.079,30,0.499267,12,0
0.08,30,0.51014,12,0
0.081,30,0.521094,12,0
0.082,30,0.532129,12,0
0.083,30,0.543244,12,0
0.084,30,0.554438,12,0
0.085,30,0.56571,12,0
0.086,30,0.577059,12,0
0.087,30,0.588483,12,0
0.088,30,0.599983,12,0
0.089,30,0.611557,12,0
0.09,30,0.623205,12,0
0.091,30,0.634924,12,0
0.092,30,0.646716,12,0
0.093,30,0.658578,12,0
0.094,30,0.670509,12,0
0.095,30,0.68251,12,0
0.096,30,0.694579,12,0
0.097,30,0.706715,12,0
0.098,30,0.718917,12,0
0.099,30,0.731185,12,0
0.1,30,0.743518,12,0
0.101,30,0.755914,12,0
0.102,30,0.768374,12,0
0.103,30,0.780896,12,0
0.104,30,0.79348,12,0
0.105,30,0.806124,12,0
0.106,30,0.818828,12,0
0.107,30,0.831592,12,0
0.108,30,0.844414,12,0
0.109,30,0.857294,12,0
0.11,30,0.87023,12,0
0.111,30,0.883223,12,0
0.112,30,0.896271,12,0
0.113,30,0.909374,12,0
0.114,30,0.922531,12,0
0.115,30,0.935742,12,0
0.116,30,0.949005,12,0
0.117,30,0.96232,12,0
0.118,30,0.975686,12,0
0.119,30,0.989103,12,0
0.12,30,1.00257,12,0
0.121,30,1.01609,12,0
0.122,30,1.02965,12,0
0.123,30,1.04326,12,0
0.124,30,1.05692,12,0
0.125,30,1.07063,12,0
0.126,30,1.08438,12,0
0.127,30,1.09818,12,0
0.128,30,1.11202,12,0
0.129,30,1.1259,12,0
0.13,30,1.13983,12,0
0.131,30,1.15381,12,0
0.132,30,1.16782,12,0
0.133,30,1.18188,12,0
0.134,30,1.19597,12,0
0.135,30,1.21011,12,0
0.136,30,1.22429,12,0
0.137,30,1.2385,12,0
0.138,30,1.25276,12,0
0.139,30,1.26705,12,0
0.14,30,1.28138,12,0
0.141,30,1.29575,12,0
0.142,30,1.31016,12,0
0.143,30,1.3246,12,0
0.144,30,1.33907,12,0
0.145,30,1.35358,12,0
0.146,30,1.36813,12,0
0.147,30,1.38271,12,0
0.148,30,1.39732,12,0
0.149,30,1.41196,12,0
0.15,30,1.42664,12,0
0.151,30,1.44135,12,0
0.152,30,1.45609,12,0
0.153,30,1.47086,12,0
0.154,30,1.48566,12,0
0.155,30,1.50049,12,0
0.156,30,1.51535,12,0
0.157,30,1.53024,12,0
0.158,30,1.54516,12,0
0.159,30,1.5601,12,0
0.16,30,1.57507,12,0
0.161,30,1.59007,12,0
0.162,30,1.6051,12,0
0.163,30,1.62015,12,0
0.164,30,1.63523,12,0
0.165,30,1.65033,12,0
0.166,30,1.66546,12,0
0.167,30,1.68061,12,0
0.168,30,1.69579,12,0
0.169,30,1.71098,12,0
0.17,30,1.72621,12,0
0.171,30,1.74145,12,0
0.172,30,1.75672,12,0
0.173,30,1.77201,12,0
0.174,30,1.78732,12,0
0.175,30,1.80265,12,0
0.176,30,1.818,12,0
0.177,30,1.83337,12,0
0.178,30,1.84876,12,0
0.179,30,1.86417,12,0
0.18,30,1.8796,12,0
0.181,30,1.89505,12,0
0.182,30,1.91052,12,0
0.183,30,1.92601,12,0
0.184,30,1.94151,12,0
0.185,30,1.95703,12,0
0.186,30,1.97257,12,0
0.187,30,1.98812,12,0
0.188,30,2.00369,12,0
0.189,30,2.01927,12,0
0.19,30,2.03487,12,0
0.191,30,2.05049,12,0
0.192,30,2.06612,12,0
0.193,30,2.08177,12,0
0.194,30,2.09742,12,0
0.195,30,2.1131,12,0
0.196,30,2.12878,12,0
0.197,30,2.14448,12,0
0.198,30,2.16019,12,0
0.199,30,2.17592,12,0
0.2,30,2.19166,12,0
0.201,30,2.20741,12,0
0.202,30,2.22317,12,0
0.203,30,2.23894,12,0
0.204,30,2.25472,12,0
0.205,30,2.27051,12,0
0.206,30,2.28632,12,0
0.207,30,2.30213,12,0
0.208,30,2.31795,12,0
0.209,30,2.33379,12,0
0.21,30,2.34963,12,0
0.211,30,2.36548,12,0
0.212,30,2.38134,12,0
0.213,30,2.39721,12,0
0.214,30,2.41308,12,0
0.215,30,2.42897,12,0
0.216,30,2.44486,12,0
0.217,30,2.46076,12,0
0.218,30,2.47666,12,0
0.219,30,2.49258,12,0
0.22,30,2.5085,12,0
0.221,30,2.52442,12,0
0.222,30,2.54035,12,0
0.223,30,2.55629,12,0
0.224,30,2.57223,12,0
0.225,30,2.58818,12,0
0.226,30,2.60414,12,0
0.227,30,2.62009,12,0
0.228,30,2.63606,12,0
0.229,30,2.65202,12,0
0.23,30,2.668,12,0
0.231,30,2.68397,12,0
0.232,30,2.69995,12,0
0.233,30,2.71593,12,0
0.234,30,2.73192,12,0
0.235,30,2.74791,12,0
0.236,30,2.7639,12,0
0.237,30,2.77989,12,0
0.238,30,2.79589,12,0
0.239,30,2.81188,12,0
0.24,30,2.82788,12,0
0.241,30,2.84389,12,0
0.242,30,2.85989,12,0
0.243,30,2.8759,12,0
0.244,30,2.8919,12,0
0.245,30,2.90791,12,0
0.246,30,2.92392,12,0
0.247,30,2.93992,12,0
0.248,30,2.95593,12,0
0.249,30,2.97194,12,0
0.25,30,2.98795,12,0
0.251,30,3.00396,12,0
0.252,30,3.01997,12,0
0.253,30,3.03597,12,0
0.254,30,3.05198,12,0
0.255,30,3.06798,12,0
0.256,30,3.08399,12,0
0.257,30,3.09999,12,0
0.258,30,3.11599,12,0
0.259,30,3.13199,12,0
0.26,30,3.14799,12,0
0.261,30,3.16399,12,0
0.262,30,3.17998,12,0
0.263,30,3.19597,12,0
0.264,30,3.21196,12,0
0.265,30,3.22795,12,0
0.266,30,3.24393,12,0
0.267,30,3.25991,12,0
0.268,30,3.27589,12,0
0.269,30,3.29187,12,0
0.27,30,3.30784,12,0
0.271,30,3.3238,12,0
0.272,30,3.33977,12,0
0.273,30,3.35573,12,0
0.274,30,3.37168,12,0
0.275,30,3.38764,12,0
0.276,30,3.40358,12,0
0.277,30,3.41953,12,0
0.278,30,3.43546,12,0
0.279,30,3.4514,12,0
0.28,30,3.46733,12,0
0.281,30,3.48325,12,0
0.282,30,3.49917,12,0
0.283,30,3.51508,12,0
0.284,30,3.53099,12,0
0.285,30,3.54689,12,0
0.286,30,3.56279,12,0
0.287,30,3.57868,12,0
0.288,30,3.59457,12,0
0.289,30,3.61045,12,0
0.29,30,3.62632,12,0
0.291,30,3.64219,12,0
0.292,30,3.65805,12,0
0.293,30,3.6739,12,0
0.294,30,3.68975,12,0
0.295,30,3.70559,12,0
0.296,30,3.72142,12,0
0.297,30,3.73725,12,0
0.298,30,3.75307,12,0
0.299,30,3.76888,12,0
0.3,30,3.78468,12,0
0.301,30,3.80048,12,0
0.302,30,3.81627,12,0
0.303,30,3.83205,12,0
0.304,30,3.84783,12,0
0.305,30,3.86359,12,0
0.306,30,3.87935,12,0
0.307,30,3.8951,12,0
0.308,30,3.91085,12,0
0.309,30,3.92658,12,0
0.31,30,3.94231,12,0
0.311,30,3.95803,12,0
0.312,30,3.97373,12,0
0.313,30,3.98943,12,0
0.314,30,4.00513,12,0
0.315,30,4.02081,12,0
0.316,30,4.03648,12,0
0.317,30,4.05215,12,0
0.318,30,4.0678,12,0
0.319,30,4.08345,12,0
0.32,30,4.09909,12,0
0.321,30,4.11472,12,0
0.322,30,4.13033,12,0
0.323,30,4.14594,12,0
0.324,30,4.16154,12,0
0.325,30,4.17713,12,0
0.326,30,4.19271,12,0
0.327,30,4.20828,12,0
0.328,30,4.22384,12,0
0.329,30,4.23939,12,0
0.33,30,4.25493,12,0
0.331,30,4.27046,12,0
0.332,30,4.28598,12,0
0.333,30,4.30149,12,0
0.334,30,4.31699,12,0
0.335,30,4.33248,12,0
0.336,30,4.34796,12,0
0.337,30,4.36343,12,0
0.338,30,4.37888,12,0
0.339,30,4.39433,12,0
0.34,30,4.40976,12,0
0.341,30,4.42519,12,0
0.342,30,4.4406,12,0
0.343,30,4.456,12,0
0.344,30,4.47139,12,0
0.345,30,4.48677,12,0
0.346,30,4.50214,12,0
0.347,30,4.5175,12,0
0.348,30,4.53285,12,0
0.349,30,4.54818,12,0
0.35,30,4.5635,12,0
0.351,30,4.57882,12,0
0.352,30,4.59412,12,0
0.353,30,4.6094,12,0
0.354,30,4.62468,12,0
0.355,30,4.63995,12,0
0.356,30,4.6552,12,0
0.357,30,4.67044,12,0
0.358,30,4.68567,12,0
0.359,30,4.70089,12,0
0.36,30,4.71609,12,0
0.361,30,4.73129,12,0
0.362,30,4.74647,12,0
0.363,30,4.76164,12,0
0.364,30,4.77679,12,0
0.365,30,4.79194,12,0
0.366,30,4.80707,12,0
0.367,30,4.82219,12,0
0.368,30,4.8373,12,0
0.369,30,4.85239,12,0
0.37,30,4.86747,12,0
0.371,30,4.88254,12,0
0.372,30,4.8976,12,0
0.373,30,4.91264,12,0
0.374,30,4.92767,12,0
0.375,30,4.94269,12,0
0.376,30,4.9577,12,0
0.377,30,4.97269,12,0
0.378,30,4.98767,12,0
0.379,30,5.00264,12,0
0.38,30,5.01759,12,0
0.381,30,5.03254,12,0
0.382,30,5.04746,12,0
0.383,30,5.06238,12,0
0.384,30,5.07728,12,0
0.385,30,5.09217,12,0
0.386,30,5.10705,12,0
0.387,30,5.12191,12,0
0.388,30,5.13676,12,0
0.389,30,5.15159,12,0
0.39,30,5.16641,12,0
0.391,30,5.18122,12,0
0.392,30,5.19602,12,0
0.393,30,5.2108,12,0
0.394,30,5.22557,12,0
0.395,30,5.24033,12,0
0.396,30,5.25507,12,0
0.397,30,5.26979,12,0
0.398,30,5.28451,12,0
0.399,30,5.29921,12,0
0.4,30,5.3139,12,0
0.401,30,5.32857,12,0
0.402,30,5.34323,12,0
0.403,30,5.35788,12,0
0.404,30,5.37251,12,0
0.405,30,5.38713,12,0
0.406,30,5.40173,12,0
0.407,30,5.41632,12,0
0.408,30,5.4309,12,0
0.409,30,5.44546,12,0
0.41,30,5.46001,12,0
0.411,30,5.47454,12,0
0.412,30,5.48906,12,0
0.413,30,5.50357,12,0
0.414,30,5.51806,12,0
0.415,30,5.53254,12,0
0.416,30,5.54701,12,0
0.417,30,5.56146,12,0
0.418,30,5.57589,12,0
0.419,30,5.59031,12,0
0.42,30,5.60472,12,0
0.421,30,5.61911,12,0
0.422,30,5.63349,12,0
0.423,30,5.64786,12,0
0.424,30,5.66221,12,0
0.425,30,5.67655,12,0
0.426,30,5.69087,12,0
0.427,30,5.70518,12,0
0.428,30,5.71947,12,0
0.429,30,5.73375,12,0
0.43,30,5.74801,12,0
0.431,30,5.76226,12,0
0.432,30,5.7765,12,0
0.433,30,5.79072,12,0
0.434,30,5.80493,12,0
0.435,30,5.81912,12,0
0.436,30,5.8333,12,0
0.437,30,5.84746,12,0
0.438,30,5.86161,12,0
0.439,30,5.87574,12,0
0.44,30,5.88986,12,0
0.441,30,5.90397,12,0
0.442,30,5.91806,12,0
0.443,30,5.93213,12,0
0.444,30,5.9462,12,0
0.445,30,5.96024,12,0
0.446,30,5.97427,12,0
0.447,30,5.98829,12,0
0.448,30,6.00229,12,0
0.449,30,6.01628,12,0
0.45,30,6.03026,12,0
0.451,30,6.04421,12,0
0.452,30,6.05816,12,0
0.453,30,6.07209,12,0
0.454,30,6.086,12,0
0.455,30,6.0999,12,0
0.456,30,6.11379,12,0
0.457,30,6.12766,12,0
0.458,30,6.14151,12,0
0.459,30,6.15535,12,0
0.46,30,6.16918,12,0
0.461,30,6.18299,12,0
0.462,30,6.19679,12,0
0.463,30,6.21057,12,0
0.464,30,6.22434,12,0
0.465,30,6.23809,12,0
0.466,30,6.25182,12,0
0.467,30,6.26555,12,0
0.468,30,6.27925,12,0
0.469,30,6.29295,12,0
0.47,30,6.30662,12,0
0.471,30,6.32029,12,0
0.472,30,6.33393,12,0
0.473,30,6.34757,12,0
0.474,30,6.36119,12,0
0.475,30,6.37479,12,0
0.476,30,6.38838,12,0
0.477,30,6.40195,12,0
0.478,30,6.41551,12,0
0.479,30,6.42905,12,0
0.48,30,6.44258,12,0
0.481,30,6.4561,12,0
0.482,30,6.46959,12,0
0.483,30,6.48308,12,0
0.484,30,6.49655,12,0
0.485,30,6.51,12,0
0.486,30,6.52344,12,0
0.487,30,6.53686,12,0
0.488,30,6.55027,12,0
0.489,30,6.56367,12,0
0.49,30,6.57705,12,0
0.491,30,6.59041,12,0
0.492,30,6.60376,12,0
0.493,30,6.6171,12,0
0.494,30,6.63042,12,0
0.495,30,6.64372,12,0
0.496,30,6.65701,12,0
0.497,30,6.67029,12,0
0.498,30,6.68355,12,0
0.499,30,6.69679,12,0
0.5,30,6.71002,12,0
0.501,30,6.72324,12,0
0.502,30,6.73644,12,0
0.503,30,6.74962,12,0
0.504,30,6.76279,12,0
0.505,30,6.77595,12,0
0.506,30,6.78909,12,0
0.507,30,6.80221,12,0
0.508,30,6.81532,12,0
0.509,30,6.82842,12,0
0.51,30,6.8415,12,0
0.511,30,6.85456,12,0
0.512,30,6.86761,12,0
0.513,30,6.88065,12,0
0.514,30,6.89367,12,0
0.515,30,6.90668,12,0
0.516,30,6.91967,12,0
0.517,30,6.93264,12,0
