Time,Setpoint,Speed,Control,Load
0,0,0.0002,12,0
0.001,0,0.000397865,-0.0040002,0
0.002,0,0.000593582,-0.0059579,0
0.003,0,0.000787139,-0.00789418,0
0.004,0,0.000978524,-0.00980894,0
0.005,0,0.00116773,-0.011702,0
0.006,0,0.00135473,-0.0135734,0
0.007,0,0.00153953,-0.0154229,0
0.008,0,0.00172212,-0.0172504,0
0.009,0,0.00190249,-0.0190558,0
0.01,0,0.00208062,-0.0208391,0
0.011,0,0.00225651,-0.0226002,0
0.012,0,0.00243015,-0.024339,0
0.013,0,0.00260153,-0.0260553,0
0.014,0,0.00277066,-0.0277492,0
0.015,0,0.00293751,-0.0294206,0
0.016,0,0.00310209,-0.0310693,0
0.017,0,0.00326438,-0.0326954,0
0.018,0,0.00342439,-0.0342988,0
0.019,0,0.00358211,-0.0358795,0
0.02,0,0.00373753,-0.0374374,0
0.021,0,0.00389066,-0.0389724,0
0.022,0,0.00404148,-0.0404845,0
0.023,0,0.00419,-0.0419738,0
0.024,0,0.00433621,-0.0434401,0
0.025,0,0.00448011,-0.0448835,0
0.026,0,0.0046217,-0.0463039,0
0.027,0,0.00476098,-0.0477013,0
0.028,0,0.00489795,-0.0490758,0
0.029,0,0.0050326,-0.0504272,0
0.03,0,0.00516495,-0.0517557,0
0.031,0,0.00529498,-0.0530611,0
0.032,0,0.0054227,-0.0543436,0
0.033,0,0.00554811,-0.0556031,0
0.034,0,0.00567121,-0.0568397,0
0.035,0,0.00579201,-0.0580533,0
0.036,0,0.0059105,-0.0592441,0
0.037,0,0.0060267,-0.0604119,0
0.038,0,0.0061406,-0.0615569,0
0.039,0,0.0062522,-0.062679,0
0.04,0,0.00636152,-0.0637784,0
0.041,0,0.00646855,-0.0648551,0
0.042,0,0.00657331,-0.065909,0
0.043,0,0.00667579,-0.0669403,0
0.044,0,0.006776,-0.067949,0
0.045,0,0.00687394,-0.0689352,0
0.046,0,0.00696963,-0.0698989,0
0.047,0,0.00706307,-0.0708402,0
0.048,0,0.00715427,-0.0717592,0
0.049,0,0.00724323,-0.0726559,0
0.05,0,0.00732996,-0.0735303,0
0.051,0,0.00741447,-0.0743827,0
0.052,0,0.00749676,-0.075213,0
0.053,0,0.00757685,-0.0760213,0
0.054,0,0.00765475,-0.0768077,0
0.055,0,0.00773046,-0.0775724,0
0.056,0,0.00780399,-0.0783153,0
0.057,0,0.00787535,-0.0790367,0
0.058,0,0.00794456,-0.0797365,0
0.059,0,0.00801161,-0.0804149,0
0.06,0,0.00807653,-0.081072,0
0.061,0,0.00813933,-0.0817079,0
0.062,0,0.00820001,-0.0823227,0
0.063,0,0.00825858,-0.0829166,0
0.064,0,0.00831506,-0.0834895,0
0.065,0,0.00836946,-0.0840417,0
0.066,0,0.00842179,-0.0845732,0
0.067,0,0.00847206,-0.0850843,0
0.068,0,0.00852029,-0.0855749,0
0.069,0,0.00856649,-0.0860453,0
0.07,0,0.00861067,-0.0864955,0
0.071,0,0.00865284,-0.0869257,0
0.072,0,0.00869302,-0.087336,0
0.073,0,0.00873122,-0.0877266,0
0.074,0,0.00876746,-0.0880976,0
0.075,0,0.00880175,-0.0884491,0
0.076,0,0.0088341,-0.0887812,0
0.077,0,0.00886452,-0.0890942,0
0.078,0,0.00889304,-0.0893881,0
0.079,0,0.00891967,-0.0896631,0
0.08,0,0.00894442,-0.0899194,0
0.081,0,0.00896731,-0.0901571,0
0.082,0,0.00898835,-0.0903763,0
0.083,0,0.00900756,-0.0905772,0
0.084,0,0.00902495,-0.09076,0
0.085,0,0.00904054,-0.0909247,0
0.086,0,0.00905435,-0.0910717,0
0.087,0,0.00906638,-0.091201,0
0.088,0,0.00907667,-0.0913127,0
0.089,0,0.00908522,-0.0914072,0
0.09,0,0.00909205,-0.0914844,0
0.091,0,0.00909718,-0.0915446,0
0.092,0,0.00910063,-0.091588,0
0.093,0,0.0091024,-0.0916147,0
0.094,0,0.00910253,-0.0916248,0
0.095,0,0.00910102,-0.0916187,0
0.096,0,0.00909789,-0.0915963,0
0.097,0,0.00909316,-0.091558,0
0.098,0,0.00908685,-0.0915038,0
0.099,0,0.00907898,-0.091434,0
0.1,0,0.00906955,-0.0913486,0
0.101,0,0.0090586,-0.091248,0
0.102,0,0.00904614,-0.0911323,0
0.103,0,0.00903218,-0.0910016,0
0.104,0,0.00901675,-0.0908561,0
0.105,0,0.00899986,-0.0906961,0
0.106,0,0.00898154,-0.0905216,0
0.107,0,0.00896179,-0.0903329,0
0.108,0,0.00894064,-0.0901302,0
0.109,0,0.0089181,-0.0899136,0
0.11,0,0.0088942,-0.0896833,0
0.111,0,0.00886895,-0.0894395,0
0.112,0,0.00884237,-0.0891824,0
0.113,0,0.00881448,-0.0889122,0
0.114,0,0.0087853,-0.088629,0
0.115,0,0.00875484,-0.088333,0
0.116,0,0.00872314,-0.0880245,0
0.117,0,0.00869019,-0.0877036,0
0.118,0,0.00865603,-0.0873705,0
0.119,0,0.00862067,-0.0870253,0
0.12,0,0.00858413,-0.0866684,0
0.121,0,0.00854643,-0.0862998,0
0.122,0,0.00850758,-0.0859197,0
0.123,0,0.00846762,-0.0855283,0
0.124,0,0.00842654,-0.0851259,0
0.125,0,0.00838439,-0.0847126,0
0.126,0,0.00834116,-0.0842885,0
0.127,0,0.00829689,-0.0838539,0
0.128,0,0.00825159,-0.083409,0
0.129,0,0.00820527,-0.0829539,0
0.13,0,0.00815797,-0.0824889,0
0.131,0,0.00810969,-0.0820141,0
0.132,0,0.00806045,-0.0815297,0
